Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
16th Match (N),Delhi,04-April-2019,04-April-2019,DC,SRH,129,8,131,5,130,20,18.3,20,20,SRH won by 5 wickets (with 9 balls remaining)
17th Match (N),Bengaluru,05-April-2019,05-April-2019,RCB,KKR,205,3,206,5,206,20,19.1,20,20,KKR won by 5 wickets (with 5 balls remaining)
18th Match (D/N),Chennai,06-April-2019,06-April-2019,CSK,KXIP,160,3,138,5,161,20,20,20,20,CSK won by 22 runs
19th Match (N),Hyderabad,06-April-2019,06-April-2019,MI,SRH,136,7,96,10,137,20,17.4,20,20,MI won by 40 runs
20th Match (D/N),Bengaluru,07-April-2019,07-April-2019,RCB,DC,149,8,152,6,150,20,18.5,20,20,DC won by 4 wickets (with 7 balls remaining)
21st Match (N),Jaipur,07-April-2019,07-April-2019,RR,KKR,139,3,140,2,140,20,13.5,20,20,KKR won by 8 wickets (with 37 balls remaining)
22nd Match (N),Mohali,08-April-2019,08-April-2019,SRH,KXIP,150,4,151,4,151,20,19.5,20,20,Kings XI won by 6 wickets (with 1 ball remaining)
23rd Match (N),Chennai,09-April-2019,09-April-2019,KKR,CSK,108,9,111,3,109,20,17.2,20,20,CSK won by 7 wickets (with 16 balls remaining)
24th Match (N),Wankhede,10-April-2019,10-April-2019,KXIP,MI,197,4,198,7,198,20,20,20,20,MI won by 3 wickets (with 0 balls remaining)
25th Match (N),Jaipur,11-April-2019,11-April-2019,RR,CSK,151,7,155,6,152,20,20,20,20,CSK won by 4 wickets (with 0 balls remaining)
26th Match (N),Eden Gardens,12-April-2019,12-April-2019,KKR,DC,178,7,180,3,179,20,18.5,20,20,DC won by 7 wickets (with 7 balls remaining)
27th Match (D/N),Wankhede,13-April-2019,13-April-2019,MI,RR,187,5,188,6,188,20,19.3,20,20,RR won by 4 wickets (with 3 balls remaining)
28th Match (N),Mohali,13-April-2019,13-April-2019,KXIP,RCB,173,4,174,2,174,20,19.2,20,20,RCB won by 8 wickets (with 4 balls remaining)
29th Match (D/N),Eden Gardens,14-April-2019,14-April-2019,KKR,CSK,161,8,162,5,162,20,19.4,20,20,CSK won by 5 wickets (with 2 balls remaining)
30th Match (N),Hyderabad,14-April-2019,14-April-2019,DC,SRH,155,7,116,10,156,20,18.5,20,20,DC won by 39 runs
31st Match (N),Wankhede,15-April-2019,15-April-2019,RCB,MI,171,7,172,5,172,20,19,20,20,MI won by 5 wickets (with 6 balls remaining)
32nd Match (N),Mohali,16-April-2019,16-April-2019,KXIP,RR,182,6,170,7,183,20,20,20,20,Kings XI won by 12 runs
33rd Match (N),Hyderabad,17-April-2019,17-April-2019,CSK,SRH,132,5,137,4,133,20,16.5,20,20,SRH won by 6 wickets (with 19 balls remaining)
34th Match (N),Delhi,18-April-2019,18-April-2019,MI,DC,168,5,128,9,169,20,20,20,20,MI won by 40 runs
35th Match (N),Eden Gardens,19-April-2019,19-April-2019,RCB,KKR,213,4,203,5,214,20,20,20,20,RCB won by 10 runs
36th Match (D/N),Jaipur,20-April-2019,20-April-2019,MI,RR,161,5,162,5,162,20,19.1,20,20,RR won by 5 wickets (with 5 balls remaining)
37th Match (N),Delhi,20-April-2019,20-April-2019,KXIP,DC,163,7,166,5,164,20,19.4,20,20,DC won by 5 wickets (with 2 balls remaining)
38th Match (D/N),Hyderabad,21-April-2019,21-April-2019,KKR,SRH,159,8,161,1,160,20,15,20,20,SRH won by 9 wickets (with 30 balls remaining)
39th Match (N),Bengaluru,21-April-2019,21-April-2019,RCB,CSK,161,7,160,8,162,20,20,20,20,RCB won by 1 run
40th Match (N),Jaipur,22-April-2019,22-April-2019,RR,DC,191,6,193,4,192,20,19.2,20,20,DC won by 6 wickets (with 4 balls remaining)
41st Match (N),Chennai,23-April-2019,23-April-2019,SRH,CSK,175,3,176,4,176,20,19.5,20,20,CSK won by 6 wickets (with 1 ball remaining)
42nd Match (N),Bengaluru,24-April-2019,24-April-2019,RCB,KXIP,202,4,185,7,203,20,20,20,20,RCB won by 17 runs
43rd Match (N),Eden Gardens,25-April-2019,25-April-2019,KKR,RR,175,6,177,7,176,20,19.2,20,20,RR won by 3 wickets (with 4 balls remaining)
44th Match (N),Chennai,26-April-2019,26-April-2019,MI,CSK,155,4,109,10,156,20,17.4,20,20,MI won by 46 runs
45th Match (N),Jaipur,27-April-2019,27-April-2019,SRH,RR,160,8,161,3,161,20,19.1,20,20,RR won by 7 wickets (with 5 balls remaining)
46th Match (D/N),Delhi,28-April-2019,28-April-2019,DC,RCB,187,5,171,7,188,20,20,20,20,DC won by 16 runs
47th Match (N),Eden Gardens,28-April-2019,28-April-2019,KKR,MI,232,2,198,7,233,20,20,20,20,KKR won by 34 runs
48th Match (N),Hyderabad,29-April-2019,29-April-2019,SRH,KXIP,212,6,167,8,213,20,20,20,20,SRH won by 45 runs
49th Match (N),Bengaluru,30-April-2019,30-April-2019,RCB,RR,5,10,41,1,6,5,3.2,5,5,No result
50th Match (N),Chennai,01-May-2019,01-May-2019,CSK,DC,179,4,99,10,180,20,16.2,20,20,CSK won by 80 runs
51st Match (N),Wankhede,02-May-2019,02-May-2019,MI,SRH,162,5,162,6,163,20,20,20,20,Match tied (MI won the one-over eliminator)
52nd Match (N),Mohali,03-May-2019,03-May-2019,KXIP,KKR,183,6,185,3,184,20,18,20,20,KKR won by 7 wickets (with 12 balls remaining)
53rd Match (D/N),Delhi,04-May-2019,04-May-2019,RR,DC,115,9,121,5,116,20,16.1,20,20,DC won by 5 wickets (with 23 balls remaining)
54th Match (N),Bengaluru,04-May-2019,04-May-2019,SRH,RCB,175,7,178,6,176,20,19.2,20,20,RCB won by 4 wickets (with 4 balls remaining)
55th Match (D/N),Mohali,05-May-2019,05-May-2019,CSK,KXIP,170,5,173,4,171,20,18,20,20,Kings XI won by 6 wickets (with 12 balls remaining)
56th Match (N),Wankhede,05-May-2019,05-May-2019,KKR,MI,133,7,134,1,134,20,16.1,20,20,MI won by 9 wickets (with 23 balls remaining)
Qualifier 1 (N),Chennai,07-May-2019,07-May-2019,CSK,MI,131,4,132,4,132,20,18.3,20,20,MI won by 6 wickets (with 9 balls remaining)
Eliminator (N),Visakhapatnam,08-May-2019,08-May-2019,SRH,DC,162,8,165,8,163,20,19.5,20,20,DC won by 2 wickets (with 1 ball remaining)
Qualifier 2 (N),Visakhapatnam,10-May-2019,10-May-2019,DC,CSK,147,9,151,4,148,20,19,20,20,CSK won by 6 wickets (with 6 balls remaining)
Final (N),Hyderabad,12-May-2019,12-May-2019,MI,CSK,149,8,148,7,150,20,20,20,20,MI won by 1 run
1st Match (N),Abu Dhabi,19-September-2020,19-September-2020,MI,CSK,162,9,166,5,163,20,19.2,20,20,CSK won by 5 wickets (with 4 balls remaining)
2nd Match (N),Dubai (DICS),20-September-2020,20-September-2020,DC,KXIP,157,8,157,8,158,20,20,20,20,Match tied (DC won the one-over eliminator)
3rd Match (N),Dubai (DICS),21-September-2020,21-September-2020,RCB,SRH,163,5,153,10,164,20,19.4,20,20,RCB won by 10 runs
4th Match (N),Sharjah,22-September-2020,22-September-2020,RR,CSK,216,7,200,6,217,20,20,20,20,RR won by 16 runs
5th Match (N),Abu Dhabi,23-September-2020,23-September-2020,MI,KKR,195,5,146,9,196,20,20,20,20,MI won by 49 runs
6th Match (N),Dubai (DICS),24-September-2020,24-September-2020,KXIP,RCB,206,3,109,10,207,20,17,20,20,Kings XI won by 97 runs
7th Match (N),Dubai (DICS),25-September-2020,25-September-2020,DC,CSK,175,3,131,7,176,20,20,20,20,DC won by 44 runs
8th Match (N),Abu Dhabi,26-September-2020,26-September-2020,SRH,KKR,142,4,145,3,143,20,18,20,20,KKR won by 7 wickets (with 12 balls remaining)
9th Match (N),Sharjah,27-September-2020,27-September-2020,KXIP,RR,223,2,226,6,224,20,19.3,20,20,RR won by 4 wickets (with 3 balls remaining)
10th Match (N),Dubai (DICS),28-September-2020,28-September-2020,RCB,MI,201,3,201,5,202,20,20,20,20,Match tied (RCB won the one-over eliminator)
11th Match (N),Abu Dhabi,29-September-2020,29-September-2020,SRH,DC,162,4,147,7,163,20,20,20,20,SRH won by 15 runs
12th Match (N),Dubai (DICS),30-September-2020,30-September-2020,KKR,RR,174,6,137,9,175,20,20,20,20,KKR won by 37 runs
13th Match (N),Abu Dhabi,01-October-2020,01-October-2020,MI,KXIP,191,4,143,8,192,20,20,20,20,MI won by 48 runs
14th Match (N),Dubai (DICS),02-October-2020,02-October-2020,SRH,CSK,164,5,157,5,165,20,20,20,20,SRH won by 7 runs
15th Match,Abu Dhabi,03-October-2020,03-October-2020,RR,RCB,154,6,158,2,155,20,19.1,20,20,RCB won by 8 wickets (with 5 balls remaining)
16th Match (N),Sharjah,03-October-2020,03-October-2020,DC,KKR,228,4,210,8,229,20,20,20,20,DC won by 18 runs
17th Match,Sharjah,04-October-2020,04-October-2020,MI,SRH,208,5,174,7,209,20,20,20,20,MI won by 34 runs
18th Match (N),Dubai (DICS),04-October-2020,04-October-2020,KXIP,CSK,178,4,181,0,179,20,17.4,20,20,CSK won by 10 wickets (with 14 balls remaining)
19th Match (N),Dubai (DICS),05-October-2020,05-October-2020,DC,RCB,196,4,137,9,197,20,20,20,20,DC won by 59 runs
20th Match (N),Abu Dhabi,06-October-2020,06-October-2020,MI,RR,193,4,136,10,194,20,18.1,20,20,MI won by 57 runs
21st Match (N),Abu Dhabi,07-October-2020,07-October-2020,KKR,CSK,167,10,157,5,168,20,20,20,20,KKR won by 10 runs
22nd Match (N),Dubai (DICS),08-October-2020,08-October-2020,SRH,KXIP,201,6,132,10,202,20,16.5,20,20,SRH won by 69 runs
23rd Match (N),Sharjah,09-October-2020,09-October-2020,DC,RR,184,8,138,10,185,20,19.4,20,20,DC won by 46 runs
24th Match,Abu Dhabi,10-October-2020,10-October-2020,KKR,KXIP,164,6,162,5,165,20,20,20,20,KKR won by 2 runs
25th Match (N),Dubai (DICS),10-October-2020,10-October-2020,RCB,CSK,169,4,132,8,170,20,20,20,20,RCB won by 37 runs
26th Match,Dubai (DICS),11-October-2020,11-October-2020,SRH,RR,158,4,163,5,159,20,19.5,20,20,RR won by 5 wickets (with 1 ball remaining)
27th Match (N),Abu Dhabi,11-October-2020,11-October-2020,DC,MI,162,4,166,5,163,20,19.4,20,20,MI won by 5 wickets (with 2 balls remaining)
28th Match (N),Sharjah,12-October-2020,12-October-2020,RCB,KKR,194,2,112,9,195,20,20,20,20,RCB won by 82 runs
29th Match (N),Dubai (DICS),13-October-2020,13-October-2020,CSK,SRH,167,6,147,8,168,20,20,20,20,CSK won by 20 runs
30th Match (N),Dubai (DICS),14-October-2020,14-October-2020,DC,RR,161,7,148,8,162,20,20,20,20,DC won by 13 runs
31st Match (N),Sharjah,15-October-2020,15-October-2020,RCB,KXIP,171,6,177,2,172,20,20,20,20,Kings XI won by 8 wickets (with 0 balls remaining)
32nd Match (N),Abu Dhabi,16-October-2020,16-October-2020,KKR,MI,148,5,149,2,149,20,16.5,20,20,MI won by 8 wickets (with 19 balls remaining)
33rd Match,Dubai (DICS),17-October-2020,17-October-2020,RR,RCB,177,6,179,3,178,20,19.4,20,20,RCB won by 7 wickets (with 2 balls remaining)
34th Match (N),Sharjah,17-October-2020,17-October-2020,CSK,DC,179,4,185,5,180,20,19.5,20,20,DC won by 5 wickets (with 1 ball remaining)
35th Match,Abu Dhabi,18-October-2020,18-October-2020,KKR,SRH,163,5,163,6,164,20,20,20,20,Match tied (KKR won the one-over eliminator)
36th Match (N),Dubai (DICS),18-October-2020,18-October-2020,MI,KXIP,176,6,176,6,177,20,20,20,20,Match tied (Kings XI won the 2nd Super Over)
37th Match (N),Abu Dhabi,19-October-2020,19-October-2020,CSK,RR,125,5,126,3,126,20,17.3,20,20,RR won by 7 wickets (with 15 balls remaining)
38th Match (N),Dubai (DICS),20-October-2020,20-October-2020,DC,KXIP,164,5,167,5,165,20,19,20,20,Kings XI won by 5 wickets (with 6 balls remaining)
39th Match (N),Abu Dhabi,21-October-2020,21-October-2020,KKR,RCB,84,8,85,2,85,20,13.3,20,20,RCB won by 8 wickets (with 39 balls remaining)
40th Match (N),Dubai (DICS),22-October-2020,22-October-2020,RR,SRH,154,6,156,2,155,20,18.1,20,20,SRH won by 8 wickets (with 11 balls remaining)
41st Match (N),Sharjah,23-October-2020,23-October-2020,CSK,MI,114,9,116,0,115,20,12.2,20,20,MI won by 10 wickets (with 46 balls remaining)
42nd Match,Abu Dhabi,24-October-2020,24-October-2020,KKR,DC,194,6,135,9,195,20,20,20,20,KKR won by 59 runs
43rd Match (N),Dubai (DICS),24-October-2020,24-October-2020,KXIP,SRH,126,7,114,10,127,20,19.5,20,20,Kings XI won by 12 runs
44th Match,Dubai (DICS),25-October-2020,25-October-2020,RCB,CSK,145,6,150,2,146,20,18.4,20,20,CSK won by 8 wickets (with 8 balls remaining)
45th Match (N),Abu Dhabi,25-October-2020,25-October-2020,MI,RR,195,5,196,2,196,20,18.2,20,20,RR won by 8 wickets (with 10 balls remaining)
46th Match (N),Sharjah,26-October-2020,26-October-2020,KKR,KXIP,149,9,150,2,150,20,18.5,20,20,Kings XI won by 8 wickets (with 7 balls remaining)
47th Match (N),Dubai (DICS),27-October-2020,27-October-2020,SRH,DC,219,2,131,10,220,20,19,20,20,SRH won by 88 runs
48th Match (N),Abu Dhabi,28-October-2020,28-October-2020,RCB,MI,164,6,166,5,165,20,19.1,20,20,MI won by 5 wickets (with 5 balls remaining)
49th Match (N),Dubai (DICS),29-October-2020,29-October-2020,KKR,CSK,172,5,178,4,173,20,20,20,20,CSK won by 6 wickets (with 0 balls remaining)
50th Match (N),Abu Dhabi,30-October-2020,30-October-2020,KXIP,RR,185,4,186,3,186,20,17.3,20,20,RR won by 7 wickets (with 15 balls remaining)
51st Match,Dubai (DICS),31-October-2020,31-October-2020,DC,MI,110,9,111,1,111,20,14.2,20,20,MI won by 9 wickets (with 34 balls remaining)
52nd Match (N),Sharjah,31-October-2020,31-October-2020,RCB,SRH,120,7,121,5,121,20,14.1,20,20,SRH won by 5 wickets (with 35 balls remaining)
53rd Match,Abu Dhabi,01-November-2020,01-November-2020,KXIP,CSK,153,6,154,1,154,20,18.5,20,20,CSK won by 9 wickets (with 7 balls remaining)
54th Match (N),Dubai (DICS),01-November-2020,01-November-2020,KKR,RR,191,7,131,9,192,20,20,20,20,KKR won by 60 runs
55th Match (N),Abu Dhabi,02-November-2020,02-November-2020,RCB,DC,152,7,154,4,153,20,19,20,20,DC won by 6 wickets (with 6 balls remaining)
56th Match (N),Sharjah,03-November-2020,03-November-2020,MI,SRH,149,8,151,0,150,20,17.1,20,20,SRH won by 10 wickets (with 17 balls remaining)
Qualifier 1 (N),Dubai (DICS),05-November-2020,05-November-2020,MI,DC,200,5,143,8,201,20,20,20,20,MI won by 57 runs
Eliminator (N),Abu Dhabi,06-November-2020,06-November-2020,RCB,SRH,131,7,132,4,132,20,19.4,20,20,SRH won by 6 wickets (with 2 balls remaining)
Qualifier 2 (N),Abu Dhabi,08-November-2020,08-November-2020,DC,SRH,189,3,172,8,190,20,20,20,20,DC won by 17 runs
Final (N),Dubai (DICS),10-November-2020,10-November-2020,DC,MI,156,7,157,5,157,20,18.4,20,20,MI won by 5 wickets (with 8 balls remaining)
1st Match (N),Chennai,09-April-2021,09-April-2021,MI,RCB,159,9,160,8,160,20,20,20,20,RCB won by 2 wickets (with 0 balls remaining)
2nd Match (N),Wankhede,10-April-2021,10-April-2021,CSK,DC,188,7,190,3,189,20,18.4,20,20,DC won by 7 wickets (with 8 balls remaining)
3rd Match (N),Chennai,11-April-2021,11-April-2021,KKR,SRH,187,6,177,5,188,20,20,20,20,KKR won by 10 runs
4th Match (N),Wankhede,12-April-2021,12-April-2021,PBKS,RR,221,6,217,7,222,20,20,20,20,PBKS won by 4 runs
5th Match (N),Chennai,13-April-2021,13-April-2021,MI,KKR,152,10,142,7,153,20,20,20,20,MI won by 10 runs
6th Match (N),Chennai,14-April-2021,14-April-2021,RCB,SRH,149,8,143,9,150,20,20,20,20,RCB won by 6 runs
7th Match (N),Wankhede,15-April-2021,15-April-2021,DC,RR,147,8,150,7,148,20,19.4,20,20,RR won by 3 wickets (with 2 balls remaining)
8th Match (N),Wankhede,16-April-2021,16-April-2021,PBKS,CSK,106,8,107,4,107,20,15.4,20,20,CSK won by 6 wickets (with 26 balls remaining)
9th Match (N),Chennai,17-April-2021,17-April-2021,MI,SRH,150,5,137,10,151,20,19.4,20,20,MI won by 13 runs
10th Match (D/N),Chennai,18-April-2021,18-April-2021,RCB,KKR,204,4,166,8,205,20,20,20,20,RCB won by 38 runs
11th Match (N),Wankhede,18-April-2021,18-April-2021,PBKS,DC,195,4,198,4,196,20,18.2,20,20,DC won by 6 wickets (with 10 balls remaining)
12th Match (N),Wankhede,19-April-2021,19-April-2021,CSK,RR,188,9,143,9,189,20,20,20,20,CSK won by 45 runs
13th Match (N),Chennai,20-April-2021,20-April-2021,MI,DC,137,9,138,4,138,20,19.1,20,20,DC won by 6 wickets (with 5 balls remaining)
14th Match (D/N),Chennai,21-April-2021,21-April-2021,PBKS,SRH,120,10,121,1,121,19.4,18.4,20,20,SRH won by 9 wickets (with 8 balls remaining)
15th Match (N),Wankhede,21-April-2021,21-April-2021,CSK,KKR,220,3,202,10,221,20,19.1,20,20,CSK won by 18 runs
16th Match (N),Wankhede,22-April-2021,22-April-2021,RR,RCB,177,9,181,0,178,20,16.3,20,20,RCB won by 10 wickets (with 21 balls remaining)
17th Match (N),Chennai,23-April-2021,23-April-2021,MI,PBKS,131,6,132,1,132,20,17.4,20,20,PBKS won by 9 wickets (with 14 balls remaining)
18th Match (N),Wankhede,24-April-2021,24-April-2021,KKR,RR,133,9,134,4,134,20,18.5,20,20,RR won by 6 wickets (with 7 balls remaining)
19th Match (D/N),Wankhede,25-April-2021,25-April-2021,CSK,RCB,191,4,122,9,192,20,20,20,20,CSK won by 69 runs
20th Match (N),Chennai,25-April-2021,25-April-2021,DC,SRH,159,4,159,7,160,20,20,20,20,Match tied (DC won the one-over eliminator)
21st Match (N),Ahmedabad,26-April-2021,26-April-2021,PBKS,KKR,123,9,126,5,124,20,16.4,20,20,KKR won by 5 wickets (with 20 balls remaining)
22nd Match (N),Ahmedabad,27-April-2021,27-April-2021,RCB,DC,171,5,170,4,172,20,20,20,20,RCB won by 1 run
23rd Match (N),Delhi,28-April-2021,28-April-2021,SRH,CSK,171,3,173,3,172,20,18.3,20,20,CSK won by 7 wickets (with 9 balls remaining)
24th Match (D/N),Delhi,29-April-2021,29-April-2021,RR,MI,171,4,172,3,172,20,18.3,20,20,MI won by 7 wickets (with 9 balls remaining)
25th Match (N),Ahmedabad,29-April-2021,29-April-2021,KKR,DC,154,6,156,3,155,20,16.3,20,20,DC won by 7 wickets (with 21 balls remaining)
26th Match (N),Ahmedabad,30-April-2021,30-April-2021,PBKS,RCB,179,5,145,8,180,20,20,20,20,PBKS won by 34 runs
27th Match (N),Delhi,01-May-2021,01-May-2021,CSK,MI,218,4,219,6,219,20,20,20,20,MI won by 4 wickets (with 0 balls remaining)
28th Match (D/N),Delhi,02-May-2021,02-May-2021,RR,SRH,220,3,165,8,221,20,20,20,20,RR won by 55 runs
29th Match (N),Ahmedabad,02-May-2021,02-May-2021,PBKS,DC,166,6,167,3,167,20,17.4,20,20,DC won by 7 wickets (with 14 balls remaining)
30th Match (N),Dubai (DICS),19-September-2021,19-September-2021,CSK,MI,156,6,136,8,157,20,20,20,20,CSK won by 20 runs
31st Match (N),Abu Dhabi,20-September-2021,20-September-2021,RCB,KKR,92,10,94,1,93,19,10,20,20,KKR won by 9 wickets (with 60 balls remaining)
32nd Match (N),Dubai (DICS),21-September-2021,21-September-2021,RR,PBKS,185,10,183,4,186,20,20,20,20,RR won by 2 runs
33rd Match (N),Dubai (DICS),22-September-2021,22-September-2021,SRH,DC,134,9,139,2,135,20,17.5,20,20,DC won by 8 wickets (with 13 balls remaining)
34th Match (N),Abu Dhabi,23-September-2021,23-September-2021,MI,KKR,155,6,159,3,156,20,15.1,20,20,KKR won by 7 wickets (with 29 balls remaining)
35th Match (N),Sharjah,24-September-2021,24-September-2021,RCB,CSK,156,6,157,4,157,20,18.1,20,20,CSK won by 6 wickets (with 11 balls remaining)
36th Match,Abu Dhabi,25-September-2021,25-September-2021,DC,RR,154,6,121,6,155,20,20,20,20,DC won by 33 runs
37th Match (N),Sharjah,25-September-2021,25-September-2021,PBKS,SRH,125,7,120,7,126,20,20,20,20,PBKS won by 5 runs
38th Match,Abu Dhabi,26-September-2021,26-September-2021,KKR,CSK,171,6,172,8,172,20,20,20,20,CSK won by 2 wickets (with 0 balls remaining)
39th Match (N),Dubai (DICS),26-September-2021,26-September-2021,RCB,MI,165,6,111,10,166,20,18.1,20,20,RCB won by 54 runs
40th Match (N),Dubai (DICS),27-September-2021,27-September-2021,RR,SRH,164,5,167,3,165,20,18.3,20,20,SRH won by 7 wickets (with 9 balls remaining)
41st Match,Sharjah,28-September-2021,28-September-2021,DC,KKR,127,9,130,7,128,20,18.2,20,20,KKR won by 3 wickets (with 10 balls remaining)
42nd Match (N),Abu Dhabi,28-September-2021,28-September-2021,PBKS,MI,135,6,137,4,136,20,19,20,20,MI won by 6 wickets (with 6 balls remaining)
43rd Match (N),Dubai (DICS),29-September-2021,29-September-2021,RR,RCB,149,9,153,3,150,20,17.1,20,20,RCB won by 7 wickets (with 17 balls remaining)
44th Match (N),Sharjah,30-September-2021,30-September-2021,SRH,CSK,134,7,139,4,135,20,19.4,20,20,CSK won by 6 wickets (with 2 balls remaining)
45th Match (N),Dubai (DICS),01-October-2021,01-October-2021,KKR,PBKS,165,7,168,5,166,20,19.3,20,20,PBKS won by 5 wickets (with 3 balls remaining)
46th Match,Sharjah,02-October-2021,02-October-2021,MI,DC,129,8,132,6,130,20,19.1,20,20,DC won by 4 wickets (with 5 balls remaining)
47th Match (N),Abu Dhabi,02-October-2021,02-October-2021,CSK,RR,189,4,190,3,190,20,17.3,20,20,RR won by 7 wickets (with 15 balls remaining)
48th Match,Sharjah,03-October-2021,03-October-2021,RCB,PBKS,164,7,158,6,165,20,20,20,20,RCB won by 6 runs
49th Match (N),Dubai (DICS),03-October-2021,03-October-2021,SRH,KKR,115,8,119,4,116,20,19.4,20,20,KKR won by 6 wickets (with 2 balls remaining)
50th Match (N),Dubai (DICS),04-October-2021,04-October-2021,CSK,DC,136,5,139,7,137,20,19.4,20,20,DC won by 3 wickets (with 2 balls remaining)
51st Match (N),Sharjah,05-October-2021,05-October-2021,RR,MI,90,9,94,2,91,20,8.2,20,20,MI won by 8 wickets (with 70 balls remaining)
52nd Match (N),Abu Dhabi,06-October-2021,06-October-2021,SRH,RCB,141,7,137,6,142,20,20,20,20,SRH won by 4 runs
53rd Match,Dubai (DICS),07-October-2021,07-October-2021,CSK,PBKS,134,6,139,4,135,20,13,20,20,PBKS won by 6 wickets (with 42 balls remaining)
54th Match (N),Sharjah,07-October-2021,07-October-2021,KKR,RR,171,4,85,10,172,20,16.1,20,20,KKR won by 86 runs
55th Match (N),Abu Dhabi,08-October-2021,08-October-2021,MI,SRH,235,9,193,8,236,20,20,20,20,MI won by 42 runs
56th Match (N),Dubai (DICS),08-October-2021,08-October-2021,DC,RCB,164,5,166,3,165,20,20,20,20,RCB won by 7 wickets (with 0 balls remaining)
Qualifier 1 (N),Dubai (DICS),10-October-2021,10-October-2021,DC,CSK,172,5,173,6,173,20,19.4,20,20,CSK won by 4 wickets (with 2 balls remaining)
Eliminator (N),Sharjah,11-October-2021,11-October-2021,RCB,KKR,138,7,139,6,139,20,19.4,20,20,KKR won by 4 wickets (with 2 balls remaining)
Qualifier 2 (N),Sharjah,13-October-2021,13-October-2021,DC,KKR,135,5,136,7,136,20,19.5,20,20,KKR won by 3 wickets (with 1 ball remaining)
Final (N),Dubai (DICS),15-October-2021,15-October-2021,CSK,KKR,192,3,165,9,193,20,20,20,20,CSK won by 27 runs
1st Match (N),Wankhede,26-March-2022,26-March-2022,CSK,KKR,131,5,133,4,132,20,18.3,20,20,KKR won by 6 wickets (with 9 balls remaining)
2nd Match (D/N),Brabourne,27-March-2022,27-March-2022,MI,DC,177,5,179,6,178,20,18.2,20,20,DC won by 4 wickets (with 10 balls remaining)
3rd Match (N),DY Patil,27-March-2022,27-March-2022,RCB,PBKS,205,2,208,5,206,20,19,20,20,PBKS won by 5 wickets (with 6 balls remaining)
4th Match (N),Wankhede,28-March-2022,28-March-2022,LSG,GT,158,6,161,5,159,20,19.4,20,20,GT won by 5 wickets (with 2 balls remaining)
5th Match (N),Pune,29-March-2022,29-March-2022,RR,SRH,210,6,149,7,211,20,20,20,20,RR won by 61 runs
6th Match (N),DY Patil,30-March-2022,30-March-2022,KKR,RCB,128,10,132,7,129,18.5,19.2,20,20,RCB won by 3 wickets (with 4 balls remaining)
7th Match (N),Brabourne,31-March-2022,31-March-2022,CSK,LSG,210,7,211,4,211,20,19.3,20,20,LSG won by 6 wickets (with 3 balls remaining)
8th Match (N),Wankhede,01-April-2022,01-April-2022,PBKS,KKR,137,10,141,4,138,18.2,14.3,20,20,KKR won by 6 wickets (with 33 balls remaining)
9th Match (D/N),DY Patil,02-April-2022,02-April-2022,RR,MI,193,8,170,8,194,20,20,20,20,RR won by 23 runs
10th Match (N),Pune,02-April-2022,02-April-2022,GT,DC,171,6,157,9,172,20,20,20,20,GT won by 14 runs
11th Match (N),Brabourne,03-April-2022,03-April-2022,PBKS,CSK,180,8,126,10,181,20,18,20,20,PBKS won by 54 runs
12th Match (N),DY Patil,04-April-2022,04-April-2022,LSG,SRH,169,7,157,9,170,20,20,20,20,LSG won by 12 runs
13th Match (N),Wankhede,05-April-2022,05-April-2022,RR,RCB,169,3,173,6,170,20,19.1,20,20,RCB won by 4 wickets (with 5 balls remaining)
14th Match (N),Pune,06-April-2022,06-April-2022,MI,KKR,161,4,162,5,162,20,16,20,20,KKR won by 5 wickets (with 24 balls remaining)
15th Match (N),DY Patil,07-April-2022,07-April-2022,DC,LSG,149,3,155,4,150,20,19.4,20,20,LSG won by 6 wickets (with 2 balls remaining)
16th Match (N),Brabourne,08-April-2022,08-April-2022,PBKS,GT,189,9,190,4,190,20,20,20,20,GT won by 6 wickets (with 0 balls remaining)
17th Match (D/N),DY Patil,09-April-2022,09-April-2022,CSK,SRH,154,7,155,2,155,20,17.4,20,20,SRH won by 8 wickets (with 14 balls remaining)
18th Match (N),Pune,09-April-2022,09-April-2022,MI,RCB,151,6,152,3,152,20,18.3,20,20,RCB won by 7 wickets (with 9 balls remaining)
19th Match (D/N),Brabourne,10-April-2022,10-April-2022,DC,KKR,215,5,171,10,216,20,19.4,20,20,DC won by 44 runs
20th Match (N),Wankhede,10-April-2022,10-April-2022,RR,LSG,165,6,162,8,166,20,20,20,20,RR won by 3 runs
21st Match (N),DY Patil,11-April-2022,11-April-2022,GT,SRH,162,7,168,2,163,20,19.1,20,20,SRH won by 8 wickets (with 5 balls remaining)
22nd Match (N),DY Patil,12-April-2022,12-April-2022,CSK,RCB,216,4,193,9,217,20,20,20,20,CSK won by 23 runs
23rd Match (N),Pune,13-April-2022,13-April-2022,PBKS,MI,198,5,186,9,199,20,20,20,20,PBKS won by 12 runs
24th Match (N),DY Patil,14-April-2022,14-April-2022,GT,RR,192,4,155,9,193,20,20,20,20,GT won by 37 runs
25th Match (N),Brabourne,15-April-2022,15-April-2022,KKR,SRH,175,8,176,3,176,20,17.5,20,20,SRH won by 7 wickets (with 13 balls remaining)
